"Path","Type","Contaminated","SensitiveReachable","SensitiveObjectPresent","UniqueData","SanitizedReplacement","RestoreEquivalent","ReviewerA","ReviewerB","ProposedAction"
"C:/Users/samsung/StudioProjects/semisemifinal","active repository","YES","YES","YES","YES","YES","YES","PASS","PASS","REPLACE_WITH_SANITIZED_COPY"
"C:/Users/samsung/StudioProjects/semisemifinal/.codex-worktrees/dead-code-cleanup-20260804","linked worktree","YES","YES","YES","possible","YES","YES","PASS","PASS","REPLACE_WITH_SANITIZED_COPY"
"C:/Users/samsung/StudioProjects/semisemifinal/dating-app","nested repository","YES","YES","YES","YES","UNKNOWN","UNKNOWN","PASS","PENDING_OWNER","NEEDS_OWNER_REVIEW"
"C:/tmp/seolleyeon-phase6p7a-20260806-172208/source/local-source.git","Method B source mirror","YES","YES","YES","NO","YES","YES","PASS","PASS","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p7a-20260806-172208/candidate/local-recovery.git","intermediate candidate","NO reachable; old object retained","NO","YES","NO","YES","YES","PASS","PASS","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p7a-20260806-172208/candidate/clean-local-recovery.git","fresh clean recovery","NO","NO","NO","NO","YES","YES","PASS","PASS","KEEP_ACTIVE_SANITIZED"
"C:/tmp/seolleyeon-phase6p7a-20260806-172208/clean-wip/checkout","clean WIP replacement","NO","NO","NO","YES WIP only","YES","YES","PASS","PASS","KEEP_ACTIVE_SANITIZED"
"C:/tmp/seolleyeon-phase6p6r2-20260806-002233/remote-source.git","historical source evidence","YES","YES","YES","NO","YES","YES","PASS","PASS","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p6r2-20260806-002233/rewrite-candidate.git","historical candidate","NO reachable; old object retained","NO","YES","NO","YES","YES","PASS","PASS","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-phase6p6r-refresh-rehearsal-20260805-211250/rewrite-mirror*.git","old failed candidate group","NO","NO","NO","NO","YES","YES","PASS","PASS","SAFE_TO_DELETE_CONTAMINATED_COPY"
"C:/tmp/seolleyeon-phase6p6a-remote-verify-*","remote verification evidence group","YES via non-ordinary refs","YES","YES","NO","YES ordinary heads only","YES","PASS","PASS","KEEP_SECURITY_EVIDENCE"
"C:/tmp/seolleyeon-dead-code-backup-20260804-060225","plain WIP backup","UNKNOWN","UNKNOWN","UNKNOWN","YES WIP diffs","PENDING","YES","PASS","PENDING_OWNER","REPLACE_WITH_SANITIZED_COPY"
"C:/tmp/festival-cleanup-lib; C:/tmp/seolleyeon_pr85_normalized_preview","plain owner-uncertain directories","UNKNOWN","NO exact target found","N/A","UNKNOWN","UNKNOWN","UNKNOWN","PASS","PENDING_OWNER","NEEDS_OWNER_REVIEW"
